RegionID,RegionAcronym,Region,ParentID,Color_1,Color_2,Color_3
1,WHOLE,WHOLE BRAIN,1,0.498039215686275,0.498039215686275,0.498039215686275
2,FORE,FOREBRAIN (TELENCEPHALON and DIENCEPHALON),1,0,0.490196078431373,0.498039215686275
3,TEL,TELENCEPHALON,2,0.23921568627451,0.556862745098039,0.584313725490196
19,CER,CEREBRUM;CEREBRAL CORTEX,3,0.592156862745098,0.713725490196078,0.301960784313725
25,CorA,Cortical areas,19,,,
787,AntC,Anterior Cingulate Cortex,25,,,
57,A24a,Area 24a of cortex,787,0.0627450980392157,0.537254901960784,0
58,A24b,Area 24b of cortex,787,0.333333333333333,0.784313725490196,0.133333333333333
59,A24c,Area 24c of cortex,787,0.419607843137255,0.337254901960784,0.274509803921569
60,A24d,Area 24d of cortex,787,0.92156862745098,0.858823529411765,0.937254901960784
788,A,Auditory Cortex,25,,,
76,AuAL,Auditory cortex; anterolateral area,788,0.858823529411765,0.482352941176471,0.584313725490196
77,AuCL,Auditory cortex; caudolateral area,788,0.894117647058824,0.858823529411765,0.780392156862745
78,AuCM,Auditory cortex; caudomedial area,788,0.345098039215686,0.643137254901961,0.258823529411765
79,AuCPB,Auditory cortex; caudal parabelt area,788,0.56078431372549,0.819607843137255,0
80,AuML,Auditory cortex; middle lateral area,788,0.690196078431373,0.596078431372549,0.729411764705882
81,AuA1,Auditory cortex; primary area,788,0.8,0.0705882352941176,0.603921568627451
82,AuR,Auditory cortex; rostral area,788,0.572549019607843,0.403921568627451,0.298039215686275
83,AuRPB,Auditory cortex; rostral parabelt,788,0.627450980392157,0.274509803921569,0.556862745098039
84,AuRM,Auditory cortex; rostromedial area,788,0.368627450980392,0.305882352941176,0.898039215686275
85,AuRTL,Auditory cortex; rostrotemporal lateral area,788,0.172549019607843,0.572549019607843,0.827450980392157
86,AuRTM,Auditory cortex; rostrotemporal medial area,788,0.894117647058824,0.482352941176471,0.882352941176471
87,AuRT,Auditory cortex; rostrotemporal part,788,0.815686274509804,0.870588235294118,0.592156862745098
126,STR,Superior temporal rostral area,788,0.803921568627451,0.0823529411764706,1
140,TPt,Temporoparietal transitional area,788,0.654901960784314,0.815686274509804,0.63921568627451
789,DP,Dorsolateral Prefrontal Cortex,25,,,
43,A10,Area 10 of cortex,789,0.243137254901961,0.501960784313725,0.109803921568627
71,A46D,Area 46 of cortex; dorsal part,789,0,0.549019607843137,0.905882352941176
72,A46V,Area 46 of cortex; ventral part,789,0.92156862745098,0.929411764705882,0.866666666666667
38,A8aD,Area 8a of cortex; dorsal part,789,0.63921568627451,0.76078431372549,0.949019607843137
39,A8aV,Area 8a of cortex; ventral part,789,0.772549019607843,0.576470588235294,0.992156862745098
40,A8b,Area 8b of cortex,789,0.745098039215686,0.376470588235294,0.113725490196078
42,A9,Area 9 of cortex,789,0.890196078431372,0.756862745098039,0.87843137254902
790,Ins,Insular Cortex,25,,,
26,AI,Agranular insular cortex,790,0.92156862745098,0.807843137254902,0.933333333333333
88,DI,Dysgranular insular cortex,790,0.933333333333333,0.309803921568627,0.96078431372549
92,GI,Granular insular cortex,790,0.627450980392157,0.274509803921569,0.556862745098039
95,IPro,Insular proisocortex,790,0.866666666666667,0.415686274509804,0.768627450980392
103,PaIL,Parainsular cortex; lateral part,790,0.341176470588235,0.768627450980392,0.356862745098039
104,PaIM,Parainsular cortex; medial part,790,0.698039215686274,0.568627450980392,0
121,ReI,Retroinsular area,790,0.47843137254902,0.701960784313725,0.541176470588235
137,TPro,Temporal proisocortex,790,0.290196078431373,0.647058823529412,0.43921568627451
791,LIT,Lateral and Inferior Temporal Cortical Region,25,,,
111,PGa/IPa,Parietal areas PGa and IPa (fundus of superior temporal ventral area),791,0.223529411764706,0.592156862745098,0.541176470588235
128,TE1,Temporal area TE1,791,0.87843137254902,0.427450980392157,1
129,TE2,Temporal area TE2,791,0.670588235294118,0,0.854901960784314
130,TE3,Temporal area TE3,791,0.8,0.2,0.2
131,TEO,Temporal area TE; occipital part,791,0.309803921568627,0.701960784313725,0.690196078431373
138,TPO,Temporo-parieto-occipital association area (superior temporal polysensory cortex),791,0.909803921568627,0.576470588235294,1
139,TPPro,Temporopolar proisocortex,791,0.650980392156863,0.768627450980392,0.756862745098039
792,MedP,Medial Prefrontal Cortex,25,,,
49,A14C,Area 14 of cortex; caudal part,792,0.345098039215686,0.529411764705882,0.811764705882353
50,A14R,Area 14 of cortex; rostral part,792,0.956862745098039,0.854901960784314,0.956862745098039
61,A25,Area 25 of cortex,792,0.211764705882353,0.556862745098039,0.741176470588235
66,A32,Area 32 of cortex,792,0.333333333333333,0.756862745098039,0.490196078431373
67,A32V,Area 32 of cortex; ventral part,792,0.243137254901961,0.588235294117647,0.211764705882353
793,OF,Orbital Frontal Cortex,25,,,
44,A11,Area 11 of cortex,793,0.894117647058824,0.247058823529412,0.976470588235294
45,A13a,Area 13a of cortex,793,0.827450980392157,0.843137254901961,0.701960784313725
46,A13b,Area 13b of cortex,793,0.701960784313725,0,0.749019607843137
47,A13L,Area 13 of cortex; lateral part,793,0.72156862745098,0.301960784313725,0
48,A13M,Area 13 of cortex; medial part,793,0.415686274509804,0.411764705882353,0.4
93,Gu,Gustatory cortex,793,0.262745098039216,0.72156862745098,0.403921568627451
101,OPAl,Orbital periallocortex,793,0.356862745098039,0.705882352941177,0.282352941176471
102,OPro,Orbital proisocortex,793,0.541176470588235,0.784313725490196,0
794,PCMR,Posterior Cingulate Medial and Retrosplenial Cortical Regions,25,,,
53,A23a,Area 23a of cortex,794,0.490196078431373,0.427450980392157,0.431372549019608
54,A23b,Area 23b of cortex,794,0.545098039215686,0.835294117647059,0.756862745098039
55,A23c,Area 23c of cortex,794,0.309803921568627,0.32156862745098,0.286274509803922
56,A23V,Area 23 of cortex; ventral part,794,0.407843137254902,0.698039215686274,0
62,A29a-c,Area 29a-c of cortex,794,0.866666666666667,0.894117647058824,0.909803921568627
63,A29d,Area 29d of cortex,794,0.513725490196078,0.32156862745098,0.580392156862745
64,A30,Area 30 of cortex,794,0.23921568627451,0.603921568627451,0.537254901960784
65,A31,Area 31 of cortex,794,0.694117647058824,0.756862745098039,0.396078431372549
112,PGM,Parietal area PG; medial part,794,0.709803921568627,0.870588235294118,0.776470588235294
119,ProSt,Prostriate area,794,0.411764705882353,0.780392156862745,0.819607843137255
795,PostP,Posterior Parietal Cortex,25,,,
27,AIP,Anterior intraparietal area of cortex,795,0.815686274509804,0.870588235294118,0.592156862745098
96,LIP,Lateral intrapartietal area of cortex,795,0.392156862745098,0.380392156862745,0.164705882352941
97,MIP,Medial intraparietal area of cortex,795,1,0.890196078431372,1
100,OPt,Occipito-parietal transitional area of cortex,795,0.407843137254902,0.290196078431373,0
106,PE,Parietal area PE,795,0.0941176470588235,0.0156862745098039,0.929411764705882
107,PEC,Parietal area PE; caudal part,795,0.643137254901961,0.733333333333333,0.964705882352941
108,PF,Parietal area PF,795,0.203921568627451,0.580392156862745,0.772549019607843
109,PFG,Parietal area PFG,795,0.333333333333333,0.662745098039216,0.72156862745098
110,PG,Parietal area PG,795,0.882352941176471,0,0.996078431372549
141,VIP,Ventral intraparietal area of cortex,795,0.835294117647059,0.694117647058824,0.917647058823529
796,MotPre,Motor and Premotor Cortical Regions,25,,,
31,A4ab,Area 4 of cortex; parts a and b (primary motor),796,0.568627450980392,0.635294117647059,0.435294117647059
32,A4c,Area 4 of cortex; part c (primary motor),796,0.494117647058824,0.309803921568627,0.384313725490196
33,A6DC,Area 6 of cortex; dorsocaudal part,796,0.337254901960784,0.337254901960784,0.666666666666667
34,A6DR,Area 6 of cortex; dorsorostral part,796,0.827450980392157,0.705882352941177,0.584313725490196
35,A6M,Area 6 of cortex; medial (supplementary motor) part,796,0.364705882352941,0.392156862745098,1
36,A6Va,Area 6 of cortex; ventral; part a,796,0.227450980392157,0.631372549019608,0.623529411764706
37,A6Vb,Area 6 of cortex; ventral; part b,796,0.596078431372549,0.27843137254902,1
41,A8C,Area 8 of cortex; caudal part,796,0.588235294117647,0.372549019607843,0.992156862745098
797,Soma,Somatosensory Cortex,25,,,
28,A1/2,Areas 1 and 2 of cortex,797,0.737254901960784,0.866666666666667,0.619607843137255
29,A3a,Area 3a of cortex (primary somatosensory),797,0.717647058823529,0.211764705882353,0.823529411764706
30,A3b,Area 3b of cortex (primary somatosensory),797,0.419607843137255,0.4,0.392156862745098
122,S2E,Secondary somatosensory cortex; external part,797,0.584313725490196,0.517647058823529,0.572549019607843
123,S2I,Secondary somatosensory cortex; internal part,797,0.43921568627451,0.772549019607843,1
124,S2PR,Secondary somatosensory cortex; parietal rostral area,797,0.72156862745098,0.627450980392157,0.619607843137255
125,S2PV,Secondary somatosensory cortex; parietal ventral area,797,0.96078431372549,0.976470588235294,0.92156862745098
798,Vis,Visual Cortex,25,,,
51,A19DI,Area 19 of cortex; dorsointermediate part,798,0.823529411764706,0.219607843137255,0.701960784313725
52,A19M,Area 19 of cortex; medial part,798,0.498039215686275,0.349019607843137,0.0941176470588235
91,FST,Fundus of superior temporal sulcus area of cortex,798,0.0705882352941176,0.749019607843137,0
98,MST,Medial superior temporal area of cortex,798,0.372549019607843,0.490196078431373,0.780392156862745
142,V1,Visual area 1,798,0.156862745098039,0.596078431372549,0.164705882352941
143,V2,Visual area 2,798,0.168627450980392,0.392156862745098,0.56078431372549
